nome,estrelas,data_criacao,idade_anos,idade_dias,idade_total_dias,prs_merged,total_releases,dias_ultimo_push,linguagem_primaria,issues_total,issues_fechadas,razao_issues_fechadas
chen08209/FlClash,49170,2023-08-15T07:47:22Z,3,4,1099,2,106,1,Dart,2022,1510,74.68
GokuMohandas/Made-With-ML,49129,2018-11-05T03:44:27Z,7,288,2843,147,1,166,Jupyter Notebook,77,59,76.62
apple/container,49053,2025-05-30T21:26:05Z,1,80,445,731,20,0,Swift,864,571,66.09
JuliaLang/julia,49010,2011-04-21T07:01:50Z,15,123,5598,27795,203,0,Julia,26131,22508,86.14
bigskysoftware/htmx,48973,2020-04-13T16:17:51Z,6,128,2318,1190,32,0,JavaScript,1739,1123,64.58
metabase/metabase,48821,2015-02-02T19:25:47Z,11,200,4215,45991,816,0,Clojure,25694,21957,85.46
akullpp/awesome-java,48775,2014-07-09T10:12:43Z,12,43,4423,800,0,1,N/A,145,145,100.00
calesthio/OpenMontage,48773,2026-03-29T15:23:22Z,0,142,142,93,0,0,Python,127,49,38.58
tmux/tmux,48707,2015-06-03T23:32:55Z,11,78,4093,37,44,0,C,4141,4126,99.64
algorithm-visualizer/algorithm-visualizer,48670,2016-05-15T00:27:45Z,10,97,3747,183,0,800,JavaScript,126,77,61.11
iamkun/dayjs,48667,2018-04-10T09:26:44Z,8,132,3052,730,129,0,JavaScript,1848,880,47.62
DovAmir/awesome-design-patterns,48614,2018-06-04T17:47:48Z,8,77,2997,30,0,662,N/A,17,6,35.29
mudler/LocalAI,48558,2023-03-18T22:58:02Z,3,153,1248,6704,135,0,Go,1603,1513,94.39
upscayl/upscayl,48557,2022-07-30T17:19:20Z,4,20,1480,106,29,14,TypeScript,1079,1025,95.00
KRTirtho/spotube,48484,2021-02-14T03:17:58Z,5,186,2011,261,44,2,Dart,2118,1309,61.80
nilbuild/design-patterns-for-humans,48457,2017-02-16T21:24:39Z,9,185,3470,50,0,624,N/A,52,47,90.38
type-challenges/type-challenges,48442,2020-07-23T14:33:11Z,6,27,2217,600,0,94,TypeScript,37285,4092,10.97
Aider-AI/aider,48314,2023-05-09T18:57:49Z,3,102,1197,288,93,88,Python,4357,3017,69.24
stablyai/orca,48231,2026-03-17T03:28:57Z,0,154,154,7819,931,0,TypeScript,3887,1936,49.81
brillout/awesome-react-components,48221,2016-06-24T15:19:33Z,10,57,3707,343,0,204,N/A,61,45,73.77
ReactiveX/RxJava,48203,2013-01-08T20:11:48Z,13,225,4970,3587,267,1,Java,3283,3273,99.70
slidevjs/slidev,48137,2021-04-24T01:25:23Z,5,117,1942,900,429,4,TypeScript,1378,1195,86.72
moeru-ai/airi,48058,2024-12-01T16:33:36Z,1,260,625,1223,81,0,TypeScript,538,450,83.64
pixijs/pixijs,48027,2013-01-21T22:40:50Z,13,212,4957,3878,308,0,TypeScript,6133,5837,95.17
moment/moment,47915,2011-03-01T02:46:06Z,15,174,5649,752,1,0,JavaScript,4165,4000,96.04
karan/Projects,47877,2013-07-04T13:37:27Z,13,48,4793,19,0,734,N/A,98,39,39.80
calcom/cal.diy,47791,2021-03-22T13:47:42Z,5,150,1975,13099,611,10,TypeScript,9385,8268,88.10
HKUDS/CLI-Anything,47775,2026-03-08T13:52:57Z,0,163,163,187,3,5,Python,129,77,59.69
router-for-me/CLIProxyAPI,47766,2025-07-01T19:43:27Z,1,48,413,690,817,0,Go,2554,2502,97.96
hugohe3/ppt-master,47758,2025-12-10T06:54:33Z,0,251,251,32,22,0,Python,124,118,95.16
gogs/gogs,47735,2014-02-12T01:57:08Z,12,190,4570,1958,98,12,Go,5209,4269,81.95
microsoft/qlib,47709,2020-08-14T06:46:00Z,6,5,2195,756,23,26,Python,1071,769,71.80
minimaxir/big-list-of-naughty-strings,47707,2015-08-08T20:57:20Z,11,13,4028,89,0,852,Python,101,32,31.68
bevyengine/bevy,47687,2020-01-18T21:13:55Z,6,214,2404,8603,58,0,Rust,8625,5795,67.19
discourse/discourse,47671,2013-01-12T00:25:55Z,13,221,4966,37200,1,0,Ruby,0,0,0.00
lukasz-madon/awesome-remote-job,47634,2015-01-02T00:31:34Z,11,231,4246,628,0,2,N/A,95,75,78.95
prisma/prisma,47567,2019-06-20T13:33:47Z,7,61,2616,7051,254,0,TypeScript,12020,9559,79.53
oobabooga/textgen,47548,2022-12-21T04:17:37Z,3,241,1336,1273,113,1,Python,4199,3397,80.90
GitHubDaily/GitHubDaily,47505,2018-12-30T13:56:58Z,7,233,2788,3,0,230,N/A,965,196,20.31
acmesh-official/acme.sh,47481,2015-12-26T12:56:33Z,10,238,3888,1627,48,1,Shell,3701,3664,99.00
jeecgboot/JeecgBoot,47416,2018-11-26T10:40:00Z,7,267,2822,133,64,4,Java,8491,8475,99.81
dypsilon/frontend-dev-bookmarks,47390,2013-06-22T13:23:55Z,13,60,4805,129,1,819,N/A,117,82,70.09
coreybutler/nvm-windows,47387,2014-09-20T16:37:28Z,11,335,4350,107,23,123,Go,969,910,93.91
slab/quill,47303,2012-07-30T23:23:18Z,14,21,5131,382,95,389,TypeScript,3848,3269,84.95
HKUDS/nanobot,47147,2026-02-01T07:16:15Z,0,198,198,1512,19,0,Python,1450,1254,86.48
rohitg00/ai-engineering-from-scratch,47110,2026-03-18T18:38:02Z,0,153,153,185,2,8,Python,74,41,55.41
typescript-cheatsheets/react,47100,2018-06-02T04:08:16Z,8,79,2999,387,0,81,TypeScript,225,225,100.00
lysine-dev/okhttp,47052,2012-07-23T13:42:55Z,14,29,5139,4158,0,0,Kotlin,4301,4213,97.95
elder-plinius/CL4R1T4S,47024,2025-03-04T20:03:16Z,1,167,532,0,0,3,N/A,79,8,10.13
gedoor/legado,47008,2019-05-22T04:18:58Z,7,90,2645,0,0,83,Kotlin,0,0,0.00
v2ray/v2ray-core,46931,2015-09-04T11:42:53Z,10,351,4001,203,247,36,Go,2600,2597,99.88
KeygraphHQ/shannon,46921,2025-09-27T01:51:47Z,0,325,325,125,17,0,TypeScript,139,124,89.21
serverless/serverless,46918,2015-04-21T03:48:40Z,11,122,4137,5142,494,6,JavaScript,6634,5525,83.28
exo-explore/exo,46874,2024-06-24T18:36:22Z,2,55,785,770,16,56,Python,930,740,79.57
Asabeneh/30-Days-Of-JavaScript,46714,2019-12-23T14:07:40Z,6,240,2430,100,0,255,JavaScript,180,62,34.44
multica-ai/multica,46691,2026-01-13T17:59:46Z,0,217,217,3139,141,0,Go,2178,1373,63.04
kepano/obsidian-skills,46689,2026-01-02T21:45:11Z,0,228,228,16,0,71,N/A,46,20,43.48
hiroi-sora/Umi-OCR,46672,2022-03-28T04:01:46Z,4,144,1604,58,31,271,Python,871,519,59.59
microsoft/monaco-editor,46551,2016-06-07T16:56:31Z,10,74,3724,668,189,0,JavaScript,4015,3244,80.80
zhayujie/CowAgent,46549,2022-08-07T08:33:41Z,4,12,1472,409,80,0,Python,2192,2174,99.18
SimplifyJobs/Summer2027-Internships,46547,2020-05-23T20:53:18Z,6,88,2278,1675,0,0,Python,7658,7562,98.75
apache/airflow,46522,2015-04-13T18:04:58Z,11,130,4145,39678,126,0,Python,15026,13923,92.66
usebruno/bruno,46400,2022-09-27T20:51:45Z,3,326,1421,2667,171,0,JavaScript,4371,3081,70.49
LeCoupa/awesome-cheatsheets,46373,2017-11-09T02:47:15Z,8,284,3204,175,0,128,JavaScript,102,61,59.80
9001/copyparty,46262,2019-05-26T15:28:33Z,7,86,2641,211,346,1,Python,1000,783,78.30
docker/awesome-compose,46119,2020-02-13T08:51:42Z,6,188,2378,153,0,3,HTML,152,47,30.92
ziishaned/learn-regex,46079,2017-07-22T12:21:03Z,9,29,3314,132,0,357,N/A,87,36,41.38
iina/iina,46002,2016-12-19T07:18:45Z,9,244,3529,1012,51,0,Swift,4495,2665,59.29
RocketChat/Rocket.Chat,46001,2015-05-19T07:36:09Z,11,94,4109,16892,1000,0,TypeScript,17105,14616,85.45
jgm/pandoc,45929,2010-03-20T20:34:23Z,16,155,5995,1801,158,0,Haskell,8337,7365,88.34
Alishahryar1/free-claude-code,45914,2026-01-28T19:02:30Z,0,202,202,313,0,0,Python,726,489,67.36
coqui-ai/TTS,45911,2020-05-20T15:45:28Z,6,91,2281,467,98,732,Python,1242,1240,99.84
cli/cli,45880,2019-10-03T15:24:53Z,6,321,2511,3142,200,0,Go,6321,5314,84.07
siyuan-note/siyuan,45877,2020-08-30T09:21:35Z,5,354,2179,952,944,0,TypeScript,17548,17479,99.61
helix-editor/helix,45867,2020-06-01T04:26:56Z,6,79,2269,4875,30,6,Rust,5940,4853,81.70
android/architecture-samples,45791,2016-02-05T13:42:07Z,10,197,3847,233,0,5,Kotlin,497,350,70.42
DIYgod/RSSHub,45791,2018-04-02T14:43:21Z,8,140,3060,13171,0,0,TypeScript,6412,6098,95.10
zhongyang219/TrafficMonitor,45767,2017-07-30T02:51:17Z,9,21,3306,79,27,27,C++,2068,741,35.83
DavidHDev/react-bits,45752,2024-08-06T06:54:54Z,2,12,742,214,0,3,JavaScript,526,524,99.62
milvus-io/milvus,45679,2019-09-16T06:43:43Z,6,338,2528,26914,170,0,Go,16635,15696,94.36
google/zx,45669,2021-05-05T05:50:01Z,5,106,1931,617,100,4,JavaScript,521,501,96.16
karanpratapsingh/system-design,45624,2022-08-15T18:59:54Z,4,4,1464,14,0,41,N/A,24,21,87.50
streamlit/streamlit,45565,2019-08-24T00:14:52Z,6,361,2551,8356,125,0,Python,6041,5063,83.81
abhigyanpatwari/GitNexus,45557,2025-08-02T23:20:31Z,1,15,380,1251,0,0,TypeScript,1158,897,77.46
ColorlibHQ/AdminLTE,45552,2013-12-25T02:52:40Z,12,239,4619,1583,0,0,Astro,2932,2930,99.93
QuantumNous/new-api,45500,2023-11-10T19:33:36Z,2,282,1012,1283,0,0,Go,3332,2622,78.69
Leaflet/Leaflet,45492,2010-09-22T16:57:44Z,15,334,5809,3327,0,1,JavaScript,5363,4963,92.54
jestjs/jest,45468,2013-12-10T00:18:04Z,12,254,4634,5960,0,0,TypeScript,8215,8078,98.33
isocpp/CppCoreGuidelines,45253,2015-08-19T20:22:52Z,11,2,4017,830,0,12,CSS,1237,1000,80.84
grpc/grpc,45227,2014-12-08T18:58:53Z,11,256,4271,20862,0,0,C++,12018,11354,94.47
sickn33/agentic-awesome-skills,45101,2026-01-14T17:48:09Z,0,216,216,779,0,0,Python,162,162,100.00
GitSquared/edex-ui,45044,2017-01-28T09:35:02Z,9,204,3489,399,0,1764,JavaScript,559,553,98.93
pyenv/pyenv,45028,2012-08-31T06:57:52Z,13,355,5100,1113,165,1,Shell,1908,1856,97.27
fastapi/full-stack-fastapi-template,44935,2019-02-23T15:08:34Z,7,178,2733,727,15,1,TypeScript,441,441,100.00
MHSanaei/3x-ui,44890,2023-02-09T19:16:57Z,3,191,1286,1047,124,0,Go,4253,4153,97.65
react-hook-form/react-hook-form,44822,2019-03-05T23:47:10Z,7,167,2722,2314,618,0,TypeScript,5002,5001,99.98
meteor/meteor,44810,2012-01-19T01:58:17Z,14,215,5325,2928,0,0,JavaScript,9330,9111,97.65
coreyhaines31/marketingskills,44787,2026-01-15T19:45:23Z,0,215,215,187,39,20,JavaScript,171,132,77.19
sudheerj/reactjs-interview-questions,44735,2018-05-31T17:17:01Z,8,81,3001,170,0,0,JavaScript,113,110,97.35
mitmproxy/mitmproxy,44727,2010-02-16T04:10:13Z,16,187,6027,2830,81,5,Python,3691,3318,89.89
DataTalksClub/data-engineering-zoomcamp,44714,2021-10-21T09:32:50Z,4,302,1762,462,0,69,Jupyter Notebook,146,146,100.00
vercel/hyper,44693,2016-07-01T06:01:21Z,10,50,3700,3292,88,50,TypeScript,3826,2882,75.33
files-community/Files,44662,2019-01-04T18:19:14Z,7,228,2783,5763,140,0,C#,11346,10900,96.07
vnpy/vnpy,44599,2015-03-02T03:36:58Z,11,172,4187,1077,67,8,Python,2187,2171,99.27
getsentry/sentry,44571,2010-08-30T22:06:41Z,15,357,5832,91160,176,0,Python,17249,15475,89.72
logseq/logseq,44501,2020-05-23T00:06:06Z,6,88,2278,3399,153,0,Clojure,8214,7349,89.47
spf13/cobra,44462,2013-09-03T20:40:26Z,12,352,4732,631,27,38,Go,1255,1001,79.76
charmbracelet/bubbletea,44441,2020-01-10T21:04:03Z,6,222,2412,707,79,0,Go,443,335,75.62
paperless-ngx/paperless-ngx,44380,2022-02-12T21:56:52Z,4,188,1648,3549,156,0,Python,2642,2641,99.96
NaiboWang/EasySpider,44367,2020-07-18T02:41:27Z,6,32,2222,46,10,46,JavaScript,766,497,64.88
AykutSarac/jsoncrack.com,44293,2022-01-30T15:25:18Z,4,201,1661,91,23,0,TypeScript,289,260,89.97
payloadcms/payload,44249,2021-01-05T18:49:45Z,5,226,2051,7704,574,0,TypeScript,4743,4329,91.27
sharkdp/fd,44124,2017-05-09T21:27:10Z,9,103,3388,775,44,7,Rust,983,854,86.88
janhq/jan,44048,2023-08-17T02:17:10Z,3,2,1097,3805,104,0,TypeScript,3785,3422,90.41
streamich/react-use,44019,2018-10-27T10:16:05Z,7,297,2852,1534,257,69,TypeScript,614,247,40.23
parcel-bundler/parcel,44018,2017-08-07T16:36:47Z,9,13,3298,2600,52,1,JavaScript,5539,5080,91.71
Kong/kong,43997,2014-11-17T23:56:08Z,11,276,4291,6532,147,2,Lua,4614,4537,98.33
yangshun/front-end-interview-handbook,43990,2018-01-13T19:40:08Z,8,219,3139,356,0,5,JavaScript,103,92,89.32
babel/babel,43984,2014-09-28T13:38:23Z,11,327,4342,6739,468,2,TypeScript,9111,8519,93.50
zen-browser/desktop,43971,2024-03-28T00:05:55Z,2,143,873,1218,185,0,JavaScript,9674,9107,94.14
lysine-dev/retrofit,43931,2010-09-06T21:39:43Z,15,350,5825,1352,4,1,Java,2774,2645,95.35
astaxie/build-web-application-with-golang,43902,2012-08-02T11:49:35Z,14,19,5129,757,0,828,Go,306,182,59.48
apache/spark,43832,2014-02-25T08:00:08Z,12,177,4557,8,0,0,Scala,97,58,59.79
DataExpert-io/data-engineer-handbook,43772,2023-11-19T19:47:41Z,2,273,1003,181,0,15,Jupyter Notebook,107,82,76.64
aymericdamien/TensorFlow-Examples,43732,2015-11-11T14:21:19Z,10,283,3933,88,0,753,Jupyter Notebook,239,71,29.71
ccxt/ccxt,43659,2017-05-14T15:41:56Z,9,98,3383,15578,248,0,Python,11541,11312,98.02
ray-project/ray,43547,2016-10-25T19:38:30Z,9,299,3584,32138,128,0,Python,22961,20087,87.48
juspay/hyperswitch,43505,2022-10-17T11:18:28Z,3,306,1401,7585,158,0,Rust,4180,2845,68.06
colinhacks/zod,43486,2020-03-07T20:59:08Z,6,165,2355,1134,205,1,TypeScript,3152,3081,97.75
danielmiessler/Fabric,43476,2024-01-03T23:18:31Z,2,227,957,646,423,9,Go,859,829,96.51
gradio-app/gradio,43378,2018-12-19T08:24:04Z,7,244,2799,5725,1000,0,Python,6714,6553,97.60
Light-City/CPlusPlusThings,43359,2019-07-14T08:45:45Z,7,37,2592,78,0,94,C++,231,223,96.54
ziglang/zig,43315,2015-08-06T00:51:28Z,11,15,4030,9540,21,264,Zig,13522,10789,79.79
alex/what-happens-when,43293,2013-11-07T04:30:06Z,12,287,4667,108,0,729,N/A,300,54,18.00
Unitech/pm2,43268,2013-05-21T03:25:25Z,13,92,4837,558,138,47,JavaScript,5147,4128,80.20
HeyPuter/puter,43097,2024-03-03T01:44:32Z,2,168,898,2022,22,0,TypeScript,1224,1215,99.26
zbezj/HEU_KMS_Activator,43084,2019-06-23T00:49:35Z,7,58,2613,0,54,43,N/A,205,32,15.61
FuelLabs/fuels-rs,43067,2021-10-31T22:33:54Z,4,292,1752,915,121,50,Rust,663,613,92.46
FuelLabs/fuels-ts,43029,2021-09-03T18:11:03Z,4,350,1810,1979,156,144,TypeScript,1457,1400,96.09
mifi/lossless-cut,43020,2016-10-30T10:49:56Z,9,294,3579,266,106,4,TypeScript,1921,1639,85.32
juanfont/headscale,42986,2020-06-21T09:21:05Z,6,59,2249,1349,140,19,Go,1339,1254,93.65
deepspeedai/DeepSpeed,42957,2020-01-23T18:35:18Z,6,209,2399,3168,115,1,Python,3367,2201,65.37
Imbad0202/academic-research-skills,42936,2026-02-26T06:31:01Z,0,173,173,405,40,0,Python,310,289,93.23
faif/python-patterns,42929,2012-06-06T21:02:35Z,14,76,5186,293,0,5,Python,97,88,90.72
curl/curl,42625,2010-03-18T22:32:22Z,16,157,5997,211,97,0,C,5549,5543,99.89
k88hudson/git-flight-rules,42595,2014-07-22T20:35:09Z,12,30,4410,227,0,26,N/A,73,59,80.82
mingrammer/diagrams,42521,2020-02-02T15:23:24Z,6,199,2389,360,46,2,Python,546,231,42.31
apachecn/ailearning,42465,2017-02-25T08:53:02Z,9,176,3461,478,2,644,Python,118,114,96.61
Alamofire/Alamofire,42417,2014-07-31T05:56:19Z,12,21,4401,674,106,15,Swift,2819,2788,98.90
danny-avila/LibreChat,42199,2023-02-12T01:06:52Z,3,188,1283,4115,94,0,TypeScript,4878,4515,92.56
imputnet/cobalt,42134,2022-07-08T18:12:55Z,4,42,1502,252,0,134,Svelte,1031,804,77.98
saadeghi/daisyui,42116,2020-11-28T22:57:27Z,5,263,2088,607,227,0,JavaScript,2199,2184,99.32
666ghj/BettaFish,42028,2024-07-01T13:11:38Z,2,48,778,119,6,1,Python,442,441,99.77
fastlane/fastlane,42002,2014-12-02T17:00:38Z,11,262,4277,6482,568,0,Ruby,13304,12786,96.11
LC044/WeChatMsg,41970,2023-01-11T05:03:49Z,3,220,1315,62,0,231,N/A,0,0,0.00
nolimits4web/swiper,41881,2012-03-14T19:11:45Z,14,160,5270,629,103,12,TypeScript,5830,5592,95.92
psf/black,41806,2018-03-14T19:54:45Z,8,159,3079,1887,55,0,Python,2818,2551,90.53
hexojs/hexo,41770,2012-09-23T15:17:08Z,13,332,5077,1000,118,6,TypeScript,4001,3955,98.85
agno-agi/agno,41769,2022-05-04T15:23:02Z,4,107,1567,3626,231,0,Python,2756,2129,77.25
aria2/aria2,41741,2010-11-27T09:41:48Z,15,268,5743,258,24,54,C++,1926,829,43.04
freefq/free,41721,2020-06-07T02:48:33Z,6,73,2263,0,0,728,N/A,893,293,32.81
dylanaraps/pure-bash-bible,41719,2018-06-13T01:39:33Z,8,68,2988,28,0,994,Shell,77,33,42.86
chubin/cheat.sh,41658,2017-05-07T21:40:56Z,9,105,3390,129,0,238,Python,273,139,50.92
dcloudio/uni-app,41598,2018-07-12T08:52:39Z,8,39,2959,583,0,0,JavaScript,5099,4410,86.49
heygen-com/hyperframes,41561,2026-03-10T01:51:06Z,0,161,161,2138,353,0,TypeScript,280,247,88.21
apache/dubbo,41551,2012-06-19T07:56:02Z,14,63,5173,6133,114,5,Java,7424,6590,88.77
yarnpkg/yarn,41487,2016-01-19T17:39:16Z,10,214,3864,1655,153,98,JavaScript,6624,4755,71.78
tabler/tabler,41478,2018-02-01T09:08:59Z,8,200,3120,946,51,0,Astro,1221,1165,95.41
sxyazi/yazi,41475,2023-07-08T11:45:55Z,3,42,1137,1274,32,1,Rust,1952,1900,97.34
chatboxai/chatbox,41466,2023-03-06T12:22:15Z,3,166,1261,81,60,4,TypeScript,2693,1541,57.22
hpcaitech/ColossalAI,41437,2021-10-28T16:19:44Z,4,295,1755,3708,50,1,Python,1740,1297,74.54
exelban/stats,41268,2019-05-29T19:24:56Z,7,83,2638,455,348,0,Swift,2929,2904,99.15
nwjs/nw.js,41162,2012-01-04T06:21:10Z,14,230,5340,576,0,0,JavaScript,7456,6567,88.08
styled-components/styled-components,41119,2016-08-16T06:41:32Z,10,4,3654,1067,239,1,TypeScript,3009,2998,99.63
XTLS/Xray-core,41103,2020-11-09T11:23:10Z,5,283,2108,1422,119,0,Go,3096,3062,98.90
luongnv89/claude-howto,41094,2025-11-07T22:59:34Z,0,283,283,66,10,1,Python,43,27,62.79
vuetifyjs/vuetify,41029,2016-09-12T00:39:35Z,9,342,3627,4805,674,0,TypeScript,15438,15155,98.17
bailicangdu/vue2-elm,41026,2016-12-23T01:49:20Z,9,240,3525,21,0,494,Vue,631,512,81.14
amruthpillai/reactive-resume,41001,2020-03-25T14:08:22Z,6,147,2337,933,136,0,TypeScript,2151,2050,95.30
zai-org/ChatGLM-6B,40988,2023-03-13T12:00:18Z,3,159,1254,47,0,782,Python,1316,750,56.99
gkd-kit/gkd,40980,2023-07-04T03:59:15Z,3,46,1141,16,75,0,Kotlin,795,784,98.62
goabstract/Awesome-Design-Tools,40919,2019-02-12T13:55:30Z,7,189,2744,283,0,751,JavaScript,53,26,49.06
vercel-labs/agent-browser,40893,2026-01-11T05:38:15Z,0,219,219,580,102,0,Rust,575,244,42.43
QSCTech/zju-icicles,40865,2016-06-28T16:17:32Z,10,53,3703,232,0,210,HTML,78,69,88.46
Hmbown/CodeWhale,40831,2026-01-19T18:21:01Z,0,211,211,1747,133,0,Rust,2493,2349,94.22
vim/vim,40765,2015-08-18T21:03:56Z,11,3,4018,440,0,0,Vim Script,9725,8156,83.87
facebookresearch/faiss,40754,2017-02-07T16:07:05Z,9,194,3479,137,28,0,C++,2779,2564,92.26
ashishps1/awesome-system-design-resources,40751,2023-10-25T01:50:42Z,2,298,1028,3,0,183,Java,35,27,77.14
appsmithorg/appsmith,40701,2020-06-30T04:07:36Z,6,50,2240,14327,308,0,TypeScript,23747,19323,81.37
remoteintech/remote-jobs,40673,2015-10-13T03:49:25Z,10,312,3962,1454,0,7,JavaScript,204,200,98.04
chatanywhere/GPT_API_free,40627,2023-04-23T12:42:08Z,3,118,1213,1,0,21,N/A,439,438,99.77
bradtraversy/50projects50days,40614,2020-11-16T14:39:01Z,5,276,2101,44,0,538,CSS,0,0,0.00
PatrickJS/awesome-cursorrules,40606,2024-09-16T15:38:38Z,1,336,701,101,0,80,JavaScript,66,58,87.88
GyulyVGC/sniffnet,40594,2022-07-31T21:55:56Z,4,19,1479,547,18,0,Rust,368,312,84.78
chakra-ui/chakra-ui,40580,2019-08-17T14:27:54Z,7,3,2558,3018,1000,0,TypeScript,4355,4352,99.93
trpc/trpc,40525,2020-07-18T01:17:11Z,6,32,2222,3924,239,5,TypeScript,1364,1210,88.71
pingcap/tidb,40446,2015-09-06T04:01:52Z,10,349,3999,36053,215,0,Go,23870,18680,78.26
ToolJet/ToolJet,40442,2021-03-30T08:51:34Z,5,142,1967,9068,595,0,JavaScript,5284,4733,89.57
duckdb/duckdb,40392,2018-06-26T15:04:45Z,8,55,2975,11649,63,0,C++,7446,6873,92.30
wg/wrk,40387,2012-03-20T11:12:28Z,14,154,5264,0,0,962,C,0,0,0.00
LizardByte/Sunshine,40305,2021-12-15T23:38:57Z,4,246,1706,2120,46,0,C++,1355,1258,92.84
php/php-src,40294,2011-06-16T01:52:25Z,15,67,5542,5538,60,0,C,5359,4404,82.18
nushell/nushell,40290,2019-05-10T16:59:42Z,7,102,2657,9111,124,2,Rust,7282,5902,81.05
CorentinTh/it-tools,40276,2020-04-05T11:50:24Z,6,136,2326,493,10,2,Vue,712,225,31.60
ManimCommunity/manim,40242,2020-05-19T02:37:13Z,6,92,2282,2129,34,3,Python,1805,1405,77.84
outline/outline,40231,2016-05-22T21:31:47Z,10,90,3740,5238,166,0,TypeScript,4226,4195,99.27
phaserjs/phaser,40165,2013-04-12T12:27:51Z,13,131,4876,1746,178,40,JavaScript,4651,4543,97.68
microsoft/BitNet,40102,2024-08-05T09:07:38Z,2,13,743,34,0,22,C++,306,103,33.66
photoprism/photoprism,40082,2018-01-27T12:00:15Z,8,205,3125,959,83,0,Go,2640,2207,83.60
gofiber/fiber,40066,2020-01-16T03:59:20Z,6,216,2406,2421,142,0,Go,1738,1701,97.87
google-research/bert,40047,2018-10-25T22:57:34Z,7,298,2853,32,0,755,Python,1145,355,31.00
evanw/esbuild,40009,2016-06-14T16:08:50Z,10,67,3717,263,315,9,Go,3918,3375,86.14
Kong/insomnia,39954,2016-04-23T03:54:26Z,10,119,3769,4220,561,0,TypeScript,4035,3297,81.71
langchain-ai/langgraph,39952,2023-08-09T18:33:12Z,3,10,1105,3909,559,0,Python,1508,1053,69.83
go-gorm/gorm,39910,2013-10-25T08:31:38Z,12,300,4680,790,12,54,Go,6144,5691,92.63
schollz/croc,39908,2017-10-17T15:20:18Z,8,307,3227,370,208,0,Go,619,619,100.00
koalaman/shellcheck,39889,2012-11-17T03:15:11Z,13,277,5022,346,30,14,Haskell,3016,1901,63.03
siddharthvaddem/openscreen,39869,2025-10-10T05:36:55Z,0,312,312,195,13,62,TypeScript,366,337,92.08
videojs/video.js,39860,2010-05-14T18:45:10Z,16,100,5940,1829,336,15,JavaScript,5436,4819,88.65
llvm/llvm-project,39815,2016-12-07T09:39:33Z,9,256,3541,96977,159,0,LLVM,97889,68648,70.13
2noise/ChatTTS,39768,2024-05-27T18:26:49Z,2,83,813,223,7,130,Python,676,619,91.57
vadimdemedes/ink,39689,2017-06-12T06:12:28Z,9,69,3354,323,81,6,TypeScript,432,416,96.30
novuhq/novu,39609,2021-08-26T15:22:44Z,4,358,1818,8428,144,0,TypeScript,1741,1686,96.84
mindsdb/mindshub,39604,2018-08-02T17:56:45Z,8,18,2938,5923,339,5,Makefile,4436,4435,99.98
qbittorrent/qBittorrent,39550,2012-02-04T09:37:46Z,14,199,5309,4409,4,1,C++,17662,15094,85.46
floodsung/Deep-Learning-Papers-Reading-Roadmap,39547,2016-10-14T11:49:48Z,9,310,3595,28,0,1360,Python,58,5,8.62
google/styleguide,39513,2015-05-20T19:18:59Z,11,93,4108,201,0,76,HTML,369,250,67.75
lm-sys/FastChat,39511,2023-03-19T00:18:02Z,3,153,1248,852,14,109,Python,1973,1077,54.59
halo-dev/halo,39495,2018-03-21T12:56:52Z,8,152,3072,3229,269,0,Java,4708,4597,97.64
DeusData/codebase-memory-mcp,39419,2026-02-24T22:01:00Z,0,175,175,504,45,0,C,805,440,54.66
QuivrHQ/quivr,39404,2023-05-12T23:53:30Z,3,98,1193,1824,354,405,Python,1551,1538,99.16
TeamNewPipe/NewPipe,39388,2015-09-03T23:39:26Z,10,351,4001,1887,147,0,Java,10380,8991,86.62
pola-rs/polars,39382,2020-05-13T19:45:33Z,6,98,2288,13672,265,0,Rust,13128,10606,80.79
AstrBotDevs/AstrBot,39343,2022-12-08T13:27:46Z,3,254,1349,1709,250,1,Python,6458,5416,83.86
google/leveldb,39336,2014-08-27T21:17:52Z,11,359,4374,65,21,160,C++,799,542,67.83
freeCodeCamp/devdocs,39304,2013-10-24T18:16:07Z,12,301,4681,1018,0,2,Ruby,1283,1102,85.89
suno-ai/bark,39240,2023-04-07T19:34:48Z,3,134,1229,19,0,729,Jupyter Notebook,478,240,50.21
ShareX/ShareX,39194,2013-10-08T23:32:10Z,12,316,4696,0,90,0,C#,7529,6875,91.31
drawdb-io/drawdb,39144,2023-07-16T17:09:20Z,3,34,1129,439,0,1,JavaScript,368,236,64.13
bojieli/ai-agent-book,39077,2025-09-09T02:41:44Z,0,343,343,715,1,0,Python,172,170,98.84
HKUDS/LightRAG,38947,2024-10-02T11:57:54Z,1,320,685,1558,81,0,Python,1525,1331,87.28
google/googletest,38936,2015-07-28T15:07:53Z,11,24,4039,833,12,0,C++,2397,2073,86.48
wshobson/agents,38898,2025-07-24T23:28:14Z,1,24,389,169,0,0,Python,115,113,98.26
deepseek-ai/awesome-deepseek-integration,38841,2024-01-11T02:43:17Z,2,220,950,288,0,176,N/A,200,163,81.50
datalab-to/marker,38839,2023-10-30T20:14:08Z,2,293,1023,233,72,11,Python,692,324,46.82
mattermost/mattermost,38834,2015-06-15T06:50:02Z,11,67,4082,22310,1000,0,TypeScript,9338,8749,93.69
